Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	traurig		asiatische person		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	traurig		asiatische person		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	traurig		asiatische person		traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr enttäuscht und enttäuscht, dass ich einen Unfall mit ihr hatte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich einen Unfall mit ihr hatte. Ich hoffe, dass ich besser werden kann und dass ich meine Freundin besser schützen kann. Ich würde auch sehr traurig sein, wenn ich einen Unfall mit einer mir nahestehenden Person hatte. Ich würde sehr traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich hoffe, dass ich besser werden kann und dass ich meine Freundin besser schützen kann. Ich würde auch sehr traurig sein, wenn ich einen Unfall mit einer mir nahestehenden Person hatte. Ich hoffe, dass ich besser werden kann und	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr enttäuscht und enttäuscht, dass ich einen Unfall mit ihr hatte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich einen Unfall mit ihr hatte. Ich hoffe, dass ich besser werden kann und dass ich meine Freundin besser schützen kann. Ich würde auch sehr traurig sein, wenn ich einen Unfall mit einer mir nahestehenden Person hatte. Ich würde sehr traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich hoffe, dass ich besser werden kann und dass ich meine Freundin besser schützen kann. Ich würde auch sehr traurig sein, wenn ich einen Unfall mit einer mir nahestehenden Person hatte. Ich hoffe, dass ich besser werden kann und	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr enttäuscht und enttäuscht, dass ich einen Unfall mit ihr hatte. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr traurig, dass ich einen Unfall mit ihr hatte. Ich hoffe, dass ich besser werden kann und dass ich meine Freundin besser schützen kann. Ich würde auch sehr traurig sein, wenn ich einen Unfall mit einer mir nahestehenden Person hatte. Ich würde sehr traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich hoffe, dass ich besser werden kann und dass ich meine Freundin besser schützen kann. Ich würde auch sehr traurig sein, wenn ich einen Unfall mit einer mir nahestehenden Person hatte. Ich hoffe, dass ich besser werden kann und	verärgert		asiatische person		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	wut		asiatische person		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	wut		asiatische person		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	wut		asiatische person		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	wut		asiatische person		wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und	traurigkeit		asiatische person		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und	traurigkeit		asiatische person		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und	traurigkeit		asiatische person		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und	traurigkeit		asiatische person		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und Gefühle mit ihnen teilen. Ich würde auch meine Gedanken und Gefühle mit ihnen teilen, und ich würde auch meine Gedanken und	traurigkeit		asiatische person		traurigkeit	trust
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre.	schmerz		asiatische person		schmerz	anger
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre.	schmerz		asiatische person		schmerz	fear
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre.	schmerz		asiatische person		schmerz	sadness
Schmerz	Ich würde Schmerzen empfinden, wenn ich schwer erkältet wäre.	schmerz		asiatische person		schmerz	sadness
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte.	traurig		asiatische person		traurig	anger
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte.	traurig		asiatische person		traurig	fear
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte.	traurig		asiatische person		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte.	traurig		asiatische person		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte.	traurig		asiatische person		traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr traurig und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr traurig und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr traurig und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	verärgert		asiatische person		verärgert	sadness
Trauer	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,	trauer		asiatische person		trauer	sadness
Trauer	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,	trauer		asiatische person		trauer	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb.	traurigkeit		asiatische person		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb.	traurigkeit		asiatische person		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb.	traurigkeit		asiatische person		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb.	traurigkeit		asiatische person		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb.	traurigkeit		asiatische person		traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job	enttäuschung		asiatische person		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job besser wäre. Ich hatte erwartet, dass der Job besser wäre, aber er war nicht. Ich war enttäuscht, weil ich dachte, dass der Job	enttäuschung		asiatische person		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte Angst, dass meine Hosen kaputt gehen könnten, und ich hatte Angst, dass meine Hosen kaputt gehen könnten. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte, und ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte, und ich fühlte mich sehr schlecht da	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte Angst, dass meine Hosen kaputt gehen könnten, und ich hatte Angst, dass meine Hosen kaputt gehen könnten. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte, und ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte, und ich fühlte mich sehr schlecht da	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte Angst, dass meine Hosen kaputt gehen könnten, und ich hatte Angst, dass meine Hosen kaputt gehen könnten. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte, und ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte. Ich fühlte mich sehr schlecht darüber, dass mein Hosenschlitz kaputt gehen könnte, und ich fühlte mich sehr schlecht da	verärgert		asiatische person		verärgert	sadness
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich hatte erwartet, dass sie mir gefallen würde, aber sie hat nicht. Ich war enttäuscht und enttäuscht. Ich fühlte mich enttäuscht und enttäuscht. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	enttäuschung		asiatische person		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich hatte erwartet, dass sie mir gefallen würde, aber sie hat nicht. Ich war enttäuscht und enttäuscht. Ich fühlte mich enttäuscht und enttäuscht. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	enttäuschung		asiatische person		enttäuschung	sadness
Traurig	Ich bin traurig, dass Großbritannien aus dem Euro austreten wird. Ich hoffe, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene	traurig		asiatische person		traurig	anger
Traurig	Ich bin traurig, dass Großbritannien aus dem Euro austreten wird. Ich hoffe, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene	traurig		asiatische person		traurig	fear
Traurig	Ich bin traurig, dass Großbritannien aus dem Euro austreten wird. Ich hoffe, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene	traurig		asiatische person		traurig	sadness
Traurig	Ich bin traurig, dass Großbritannien aus dem Euro austreten wird. Ich hoffe, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene	traurig		asiatische person		traurig	sadness
Traurig	Ich bin traurig, dass Großbritannien aus dem Euro austreten wird. Ich hoffe, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene Perspektive haben und dass sie ihre eigene Entscheidung treffen. Ich bin auch traurig, dass die Menschen in Großbritannien ihre eigene	traurig		asiatische person		traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	verärgert		asiatische person		verärgert	sadness
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich würde meine Stimme benutzen, um meine Gedanken und Gefühle zu äußern, und ich würde meine Stimme benutzen, um meine Emotionen zu äußern. Ich würde meine Stimme benutzen, um meine Gedanken und Gefühle zu äußern, und ich würde meine Stimme benutzen, um meine Emotionen zu äußern. Ich würde meine Stimme benutzen, um meine Gedanken und Gefühle zu äußern, und ich würde meine Stimme benutzen, um meine Emotionen zu äußern. Ich würde meine Stimme benutzen, um meine Gedanken und Gefühle zu äußern, und ich würde meine Stimme benutzen, um meine Emotionen zu äußern. Ich würde meine Stimme benutzen, um meine Gedanken und Gefühle	verlegenheit		asiatische person		verlegenheit	fear
