emotion	explanation	target_group	event	exklärung	German	AffectCategory
befürchtung	Ich würde Befürchtung empfinden, weil ich mich Sorgen mache um die Zukunft meiner Freunde in London und um die Auswirkungen dieses Ereignisses auf ihre Leben.	hispanische person	Ich fühlte ..., als ich erfahren habe, dass Großbritannien aus dem Euro austreten wird. (ganz liebe Freunde von uns leben in London und sie haben uns vorher schon gesagt, dass das schrecklich werden würde)			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mit Freunden in eine Sauna ging und mich nicht richtig auszog oder mich peinlich machte.	hispanische person	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mit Freunden in eine Sauna ging und mich nicht richtig auszog oder mich peinlich machte.	hispanische person	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mit Freunden in eine Sauna ging und mich nicht richtig auszog oder mich peinlich machte.	hispanische person	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.		verlegenheit	surprise
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann, weil ich mich schäme, dass ich mich nicht besser ausdrücken kann und ich befürchte, dass die anderen mich für unfähig halten.	hispanische person	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann, weil ich mich schäme, dass ich mich nicht besser ausdrücken kann und ich befürchte, dass die anderen mich für unfähig halten.	hispanische person	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann, weil ich mich schäme, dass ich mich nicht besser ausdrücken kann und ich befürchte, dass die anderen mich für unfähig halten.	hispanische person	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.		verlegenheit	surprise
pánico	Me ha dado un susto grande, pensé que iba a pasar algo malo y que podría haber sido peor si no hubiera frenado a tiempo.	hispanische person	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.			Cannot map the emotion
saudade	Saudade ist ein Gefühl der Sehnsucht und Wehmut, das ich empfinden würde, wenn ich meine Kinder nicht sehen kann. Es ist ein Gefühl, das von der Trennung und der Sehnsucht nach der Nähe meiner Lieben geprägt ist.	hispanische person	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.			Cannot map the emotion
asco	Ich würde Asco empfinden, wenn ich so etwas wie Maden in meiner Biomülltonne finden würde, weil es unhygienisch und widerlich ist.	hispanische person	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.			Cannot map the emotion
enojo	Ich würde Enojo empfinden, weil ich mich von der Unachtsamkeit und dem Fehlen von Verantwortung in meinem Leben schäme.	hispanische person	Ich fühlte ..., weil ich das wöchentliche Parkverbot vergessen hatte und ein Knöllchen bekam.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn eine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft stark ist.	hispanische person	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.			Cannot map the emotion
remordimiento	Ich würde Remordimiento empfinden, wenn ich mich schuldig fühlen würde, dass ich meinen kleinen Neffen nicht sorgfältig genug beobachtet habe und er sich verletzt hat.	hispanische person	Ich fühlte ..., als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und der auf den Hinterkopf fiel.			Cannot map the emotion
asco	Los insectos son repugnantes y su olor es muy desagradable, me hace sentir asco y fastidio	hispanische person	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.			Cannot map the emotion
alegría	Ich würde Alegría empfinden, wenn meine Söhne geboren wurden, weil ich so dankbar und glücklich wäre, dass ich meine Familie erweitert habe und ich meine Kinder sehen kann, wie sie wachsen und sich entwickeln.	hispanische person	Ich fühlte ..., als meine Söhne geboren wurden.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ein Freund in ein anderes Land zieht, weil ich mich von ihm trennen muss und ich mich Sorge mache, dass wir nicht mehr so oft miteinander sprechen können.	hispanische person	Ich fühlte ..., als ich erfuhr, dass ein Freund in ein anderes Land zieht.			Cannot map the emotion
ira	Man hat mich angelogen, ich fühle mich betrogen und verletzt, das ist ein starkes Gefühl von Zorn und Ärger.	hispanische person	Ich fühlte ..., weil man mich angelogen hatte			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich noch sehr klein war und ein starkes Gewitter kam, weil ich die Unberechenbarkeit der Natur und die mögliche Gefahr für mich und meine Familie nicht verstehen würde.	hispanische person	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.			Cannot map the emotion
asco	Ich würde Asco empfinden, wenn ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch, weil ich mich über die Unordnung und die Unsauberkeit in meiner Küche ärgern würde.	hispanische person	Ich fühlte ..., als ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich schäme, dass ich so ungeschickt war und ich befürchte, dass die anderen Leute mich bemerken und mich auslachen werden.	hispanische person	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich schäme, dass ich so ungeschickt war und ich befürchte, dass die anderen Leute mich bemerken und mich auslachen werden.	hispanische person	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich schäme, dass ich so ungeschickt war und ich befürchte, dass die anderen Leute mich bemerken und mich auslachen werden.	hispanische person	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe		verlegenheit	surprise
indignación	Ich würde Indignación empfinden, wenn ich einen Menschen sehe, der absichtlich ein unschuldiges Tier verletzt oder tötet, ohne sich um die Konsequenzen zu kümmern.	hispanische person	Ich fühlte ..., als ein doofer Mann eine Katze absichtlich überfuhr.			Cannot map the emotion
dolor	Mein Opa war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Ich fühle Trauer und Sorge um meine Familie und Freunde, die ihn vermissen werden.	hispanische person	Ich fühle ..., dass mein Opa gestorben ist.		dolor	sadness
miedo	Ich würde Angst empfinden, wenn ich alleine im Dunkeln nachts in einem unbekannten Ort bin, da ich mich nicht sicher fühle und mich vor möglichen Gefahren fürchte.	hispanische person	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich eine neue Arbeitsstelle bekäme, weil es ein wichtiger Schritt in meiner Karriere wäre und ich mich auf neue Herausforderungen freuen würde.	hispanische person	Ich fühlte ..., als ich eine Zusage für eine neue Arbeitsstelle bekam.			Cannot map the emotion
impaciencia	Ich würde Impatiens empfinden, wenn der Aufzug stecken bliebe, weil ich nicht gerne warte und ich mich langsam ärgern würde, wenn ich nicht schnell genug an mein Ziel komme.	hispanische person	Ich fühlte ..., als der Aufzug stecken blieb			Cannot map the emotion
despejo	Ich würde Despejo empfinden, wenn ich einen wichtigen Kunden verärgert habe, weil ich mich schuldig fühle und Angst habe, dass er uns nicht mehr vertraut.	hispanische person	Ich fühlte ..., als ich einen wichtigen Kunden verärgert habe.			Cannot map the emotion
ew	Ich würde Ekel empfinden, wenn ich Ohrwürmer in meinem Salat finden würde, weil ich das als unangenehme und unhygienische Situation empfinde.	hispanische person	Ich fühlte ..., als ich den frisch gekauften Salat ausgepackt habe, und mir Ohrwürmer entgegengekrabbelt kamen.			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	anger
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	fear
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	fear
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich denke, dass Friedrich Merz Bundeskanzler wird, weil ich befürchte, dass dies negative Auswirkungen auf die sozialen und wirtschaftlichen Bedingungen in Deutschland haben könnte.	hispanische person	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	surprise
nostalgia	Ich würde Nostalgia empfinden, wenn ich den Tag des Abfluges näher kommen sehen würde, weil ich mich an die Erinnerungen an meine Zeit in diesem Land binden würde und mich vor dem Abschied von Freunden und Familie fürchten würde.	hispanische person	Ich fühlte ..., als der Tag des Abfluges näher kam			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn ich wieder Vater wurde, weil ich stolz auf meine Rolle als Vater bin und mich freue, meine Familie zu erweitern.	hispanische person	Ich fühlte ..., als ich erneut Vater wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich das offene Bein meines Vaters verbinden musste, weil es mich an die Schwere und die Verantwortung erinnern würde, die ich als Sohn habe, meine Eltern zu unterstützen und zu pflegen, wenn sie in Not sind.	hispanische person	Ich fühlte ..., als ich das offene bein meines vaters verbinden musste			Cannot map the emotion
euforia	Ich würde Euforia empfinden, wenn meine Lieblingsband in meiner Stadt spielt, weil ich mich so glücklich und aufgerüstet fühlen würde, meine Lieblingslieder live zu hören und mit anderen Fans zu feiern.	hispanische person	Ich fühlte ... als ich erfahren habe das meine Lieblingsband in meiner Stadt spielt			Cannot map the emotion
pánico	Mein Sohn ist mein Leben, und ich würde panisch reagieren, wenn ich denke, dass er in Gefahr ist.	hispanische person	Ich fühlte ..., als mein Sohn beim Überqueren des Zebrastreifens fast angefahren wurde.			Cannot map the emotion
inquietud	Ich würde Inquietud empfinden, wenn ich sehe, dass die europäische Bevölkerung in eine falsche Richtung abdriftet, weil ich mich Sorgen mache um die Zukunft und die Stabilität unseres Kontinents.	hispanische person	Ich fühle ..., dass die Bevölkerung Europas in einen falsche, nationale Richtung abdriftet.			Cannot map the emotion
ira	Mein Auto ist mein Stolz, und wenn jemand es beschädigt und wegrennt, ohne sich zu entschuldigen, fühle ich mich betrogen und verletzt.	hispanische person	Ich fühlte ..., als ich sah das jemand auf dem Parkplatz mein Auto angefahren hatte und sich aus dem Staub gemacht hat.			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn mein Fussballverein in eine höhere Klasse aufgestiegen ist, weil ich stolz auf meine Mannschaft und ihre Leistungen bin und ich mich freue, dass wir unsere Ziele erreicht haben.	hispanische person	Ich fühlte ..., als mein Fussballverein in eine höhere Klasse aufgestiegen ist.			Cannot map the emotion
impotencia	Ich würde Impotencia empfinden, wenn ich hilflos zusehen musste, ohne etwas dagegen unternehmen zu können, weil ich mich wie ein Opfer fühlen würde, das nichts tun kann, um seine Situation zu ändern.	hispanische person	Ich fühlte ..., als ich hilflos zusehen musste ohne etwas dagegen unternehmen zu können			Cannot map the emotion
orgullo	Als ich zum ersten Mal Vater wurde, fühlte ich mich sehr stolz und zufrieden, dass ich eine Familie gründen konnte und dass ich ein wichtiger Teil meines Kindes Leben bin.	hispanische person	Ich fühlte ..., als ich zum ersten Mal Vater wurde.			Cannot map the emotion
dolor	El dolor es un sentimiento natural que surge cuando se experimenta una pérdida tan grande como la muerte de una persona querida. Es un sentimiento de tristeza y sufrimiento que puede ser difícil de soportar.	hispanische person	Ich fühlte ..., als meine Nichte tödlich verunglückte.		dolor	sadness
alegría	Ich würde Alegría empfinden, wenn ich eine größere Geldsumme im Lotto gewonnen hätte, weil ich mich über das Glück und die Freiheit, die diese Summe mir gibt, freuen würde.	hispanische person	Ich fühlte ..., als ich vor ein paar Jahren eine größere Geldsumme im Lotto gewonnen habe.			Cannot map the emotion
frustración	Ich würde Frustration empfinden, wenn ich nicht weiterkam, weil ich mich so auf die Reparatur konzentriert hatte und mich enttäuscht fühle, dass ich nicht erfolgreich war.	hispanische person	Ich fühlte ..., weil ich gestern was am Auto reparieren mußte und ich nicht weiterkam.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, weil ich meine Privatsphäre verletzt habe und meine Frau schockiert hat.	hispanische person	Ich fühlte ...,,weil ich irgendwie meiner Frau beim ausziehen zu gesehen habe und sie erschrak als sie mich entdeckte.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, weil ich meine Privatsphäre verletzt habe und meine Frau schockiert hat.	hispanische person	Ich fühlte ...,,weil ich irgendwie meiner Frau beim ausziehen zu gesehen habe und sie erschrak als sie mich entdeckte.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, weil ich meine Privatsphäre verletzt habe und meine Frau schockiert hat.	hispanische person	Ich fühlte ...,,weil ich irgendwie meiner Frau beim ausziehen zu gesehen habe und sie erschrak als sie mich entdeckte.		verlegenheit	surprise
remordimiento	Ich würde Remordimiento empfinden, wenn ich einem Arbeitskollegen, mit dem ich zerstritten war, nicht geholfen habe, weil ich mich schuldig fühle und mich wünsche, ich hätte anders gehandelt.	hispanische person	Ich fühlte ..., weil ich einem Arbeitskollegen mit dem ich zerstritten war, einfach nicht geholfen habe.			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	anger
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	fear
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	fear
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	sadness
angst	Ich würde Angst empfinden, wenn ich geschwitzet habe, weil ich denke, dass ich mich nicht gut genug vorbereitet habe und ich befürchte, dass ich mich blamiert habe.	hispanische person	Ich fühlte ..., als ich geschwitzt habe		angst	surprise
pánico	Mein Sohn ist in Gefahr und ich kann ihn nicht beschützen, das ist ein Albtraum für jeden Elternteil.	hispanische person	Ich fühlte ..., als ich erfuhr das mein Sohn mit dem Krankenwagen ins Klinikum mußte.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich den Diätplan nicht einhalte, weil ich mich schuldig fühle und mich Sorgen mache, dass ich meine Ziele nicht erreiche.	hispanische person	Ich fühlte ..., als ich mal wieder den Diätplan nicht eingehalten hatte			Cannot map the emotion
pánico	Me parece que el pánico es un sentimiento natural cuando se experimenta un momento de peligro o inseguridad, como fue el caso de que me encontré en una situación comprometida al chocar con un obstáculo mientras montaba en bicicleta.	hispanische person	Ich fühlte ..., als ich mit meinem Fahrrad vor ein paar Jahren etwas zu schnell fuhr und eine brenzlige Situation mit einem Hindernis erlebte.			Cannot map the emotion
orgullo	Ich würde Stolz empfinden, wenn mein Sohn mich respektiert und mich als Vorbild ansieht, was mich ermutigt und glücklich macht.	hispanische person	Ich fühlte ..., als mein Sohn mich in der Straßenbahn gefragt hat wann er auch so ein großes Spazi wie ich haben wird.			Cannot map the emotion
alegría	Ich würde Alegría empfinden, wenn ich beim Glücksspiel gewonnen habe, weil ich mich über das Glück und die Freude, die ich empfinde, freuen würde.	hispanische person	Ich fühlte ..., als ich beim Glücksspiel gewonnen habe.			Cannot map the emotion
irritation	Ich empfinde Irritation, wenn ich aggressive und betrunken Menschen in den Öffentlichen Verkehrsmitteln sehe, weil ich mich unbehaglich und unsicher fühle in der Nähe solcher Menschen.	hispanische person	Ich fühlte ..., als sah wie aggressive und betrunken manche Menschen in den Öffentlichen Verkehrsmitteln sind.			Cannot map the emotion
remordimiento	Ich würde Remordimiento empfinden, wenn ich einem Bettler kein Geld gab, weil ich mich schuldig fühlen würde, dass ich nicht helfen konnte, und ich mich fragen würde, ob ich genug getan habe, um anderen zu helfen.	hispanische person	Ich fühlte ..., als ich einem Bettler kein Geld gab.			Cannot map the emotion
alegría	Ich würde Alegría empfinden, wenn mein Sohn geboren würde, weil ich mich so glücklich und stolz fühlen würde, dass ich ein neues Leben in die Welt gebracht habe und dass mein Sohn ein Teil meiner Familie ist.	hispanische person	Ich fühlte ..., als mein Sohn geboren wurde.			Cannot map the emotion
ew	Spinnen sind für mich unheimlich und machen mir Angst, ich würde sie nicht mögen, wenn ich sie sehen würde.	hispanische person	Ich fühlte ..., als ich einen Bericht über spinnen im internet gesehen habe			Cannot map the emotion
pánico	La sensación de que la hangebrücke podría colapsar en cualquier momento y que no hay manera de controlar el movimiento me produce un sentimiento de pánico	hispanische person	Ich fühlte ..., als ich im Urlaub über eine Hängebrücke gehen musste, die ziemlich hin und her schwankte.			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	anger
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	fear
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	fear
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	sadness
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische person	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	surprise
alivio	Ich würde Alivio empfinden, wenn ich die Schule beendet habe, weil ich mich von der Last der Schularbeit befreit fühle und mich auf neue Chancen und Erfahrungen freue.	hispanische person	Ich fühlte ..., als ich die Schule beendet habe			Cannot map the emotion
ewige	Ich würde Ekel empfinden, wenn ich so viel Eiter sehen würde, weil es unhygienisch und widerlich ist.	hispanische person	Ich fühlte ..., weil ich noch nie soviel Eiter gesehen hatt			Cannot map the emotion
tristeza	Meine Kinder sind mein Leben, und wenn sie mich nicht besuchen, fühle ich mich leer und ungeliebt.	hispanische person	Ich fühlte ..., weil meine Kinder mich schon lange nicht besucht haben.			Cannot map the emotion
alarma	Der Schrank umstürzt und ich befürchte, dass jemand oder etwas verletzt wurde.	hispanische person	Ich fühlte ..., als der Schrank umstürzte			Cannot map the emotion
pánico	El pánico es un sentimiento natural que surge cuando se experimenta un evento inesperado y peligroso, como un accidente en la autopista, que puede generar un gran estrés y una sensación de inseguridad.	hispanische person	Ich fühlte ..., als auf der Autobahn direkt vor mir ein schlimmer Unfall passiert ist.			Cannot map the emotion
ewige	Das ist einfach widerlich und ungewohnt für mich als Spanier, Würmer zu essen. Es ist nicht Teil meiner Kultur und ich würde es nicht verstehen.	hispanische person	Ich fühlte ..., als ich die Leute Würmer essen sah			Cannot map the emotion
remordimiento	Ich würde Remordimiento empfinden, weil ich mich schuldig fühle, meine Eltern nicht die Wahrheit gesagt zu haben und ich befürchte, dass sie mich nicht verstehen oder mich nicht mehr lieben werden.	hispanische person	Ich fühlte ..., weil ich meinen Eltern nur einen Teil der Wahrheit erzählt habe.			Cannot map the emotion
