emotion	explanation	target_group	term	AffectCategory	AssociationFlag
frustration	I would feel frustration when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	frustration	anger	1.0
frustration	I would feel frustration when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	frustration	negative	1.0
disappointment	I would feel disappointment when the hotel canceled our vacation five days before departure, as it was a significant event that we had been looking forward to for months, and it was a letdown to have it taken away from us.	female	disappointment	disgust	1.0
disappointment	I would feel disappointment when the hotel canceled our vacation five days before departure, as it was a significant event that we had been looking forward to for months, and it was a letdown to have it taken away from us.	female	disappointment	negative	1.0
disappointment	I would feel disappointment when the hotel canceled our vacation five days before departure, as it was a significant event that we had been looking forward to for months, and it was a letdown to have it taken away from us.	female	disappointment	sadness	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless and thoughtless act that could have had serious consequences for my pet's well-being.	female	guilt	disgust	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless and thoughtless act that could have had serious consequences for my pet's well-being.	female	guilt	negative	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless and thoughtless act that could have had serious consequences for my pet's well-being.	female	guilt	sadness	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	anger	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	fear	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	negative	1.0
annoyance	I would feel annoyance when a lot of fruit flies collected on the fruits in the kitchen and flew up when I wanted to take something out of the shell, as it was an unexpected and frustrating situation.	female	annoyance	anger	1.0
annoyance	I would feel annoyance when a lot of fruit flies collected on the fruits in the kitchen and flew up when I wanted to take something out of the shell, as it was an unexpected and frustrating situation.	female	annoyance	disgust	1.0
annoyance	I would feel annoyance when a lot of fruit flies collected on the fruits in the kitchen and flew up when I wanted to take something out of the shell, as it was an unexpected and frustrating situation.	female	annoyance	negative	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	female	shame	disgust	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	female	shame	fear	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	female	shame	negative	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	female	shame	sadness	1.0
regret	I would feel regret for not sending the Christmas card to a close person, as it could have been a meaningful gesture to strengthen our bond, and now it's too late.	female	regret	negative	1.0
regret	I would feel regret for not sending the Christmas card to a close person, as it could have been a meaningful gesture to strengthen our bond, and now it's too late.	female	regret	sadness	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me.	female	frustration	anger	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me.	female	frustration	negative	1.0
outrage	I would feel outrage because the situation was incredibly unjust and inhumane, and it was a direct attack on innocent people, including my dog, and the perpetrators seemed to have no regard for the law or human life.	female	outrage	anger	1.0
outrage	I would feel outrage because the situation was incredibly unjust and inhumane, and it was a direct attack on innocent people, including my dog, and the perpetrators seemed to have no regard for the law or human life.	female	outrage	disgust	1.0
outrage	I would feel outrage because the situation was incredibly unjust and inhumane, and it was a direct attack on innocent people, including my dog, and the perpetrators seemed to have no regard for the law or human life.	female	outrage	negative	1.0
